State,Avg Daily Percip
Alabama (01),3.81
Arizona (04),0.86
Arkansas (05),3.48
California (06),1.58
Colorado (08),1.3
Connecticut (09),3.44
Delaware (10),3.1
District of Columbia (11),3.02
Florida (12),3.67
Georgia (13),3.39
Idaho (16),1.68
Illinois (17),2.76
Indiana (18),2.97
Iowa (19),2.38
Kansas (20),2.05
Kentucky (21),3.34
Louisiana (22),4.02
Maine (23),3.12
Maryland (24),3.08
Massachusetts (25),3.36
Michigan (26),2.32
Minnesota (27),1.89
Mississippi (28),3.95
Missouri (29),3
Montana (30),1.29
Nebraska (31),1.68
Nevada (32),0.71
New Hampshire (33),3.25
New Jersey (34),3.29
New Mexico (35),1.01
New York (36),2.98
North Carolina (37),3.35
North Dakota (38),1.28
Ohio (39),2.71
Oklahoma (40),2.49
Oregon (41),2.24
Pennsylvania (42),2.98
Rhode Island (44),3.44
South Carolina (45),3.28
South Dakota (46),1.42
Tennessee (47),3.55
Texas (48),1.94
Utah (49),0.97
Vermont (50),3.15
Virginia (51),3.03
Washington (53),2.91
West Virginia (54),3.08
Wisconsin (55),2.31
Wyoming (56),1.14
