,rank,city,happiness,tweetNumber,lat,lon
248,249,"Pittsburgh, PA",5.97,100117,40.44062479999999,-79.9958864
249,250,"Indianapolis, IN",5.97,98932,39.768403,-86.158068
250,251,"Pensacola, FL--AL",5.97,10875,30.42130899999999,-87.2169149
251,252,"Port St. Lucie, FL",5.97,9880,27.2758333,-80.35499999999999
252,253,"Odessa, TX",5.97,1579,31.8456816,-102.3676431
253,254,"Raleigh, NC",5.97,60469,35.7795897,-78.6381787
254,255,"Cheyenne, WY",5.97,1279,41.1399814,-104.8202462
255,256,"Spartanburg, SC",5.97,6145,34.9495672,-81.9320482
256,257,"Poughkeepsie--Newburgh, NY--NJ",5.97,13912,40.0583238,-74.4056612
257,258,"Concord, NC",5.97,8901,35.4087517,-80.579511
258,259,"Toledo, OH--MI",5.97,18999,41.6639383,-83.55521200000001
259,260,"Antioch, CA",5.97,8871,38.0049214,-121.805789
260,261,"St. Louis, MO--IL",5.97,104128,38.6105426,-90.3371889
261,262,"Bay City, MI",5.97,787,43.5944677,-83.8888647
262,263,"Fort Wayne, IN",5.96,13392,41.079273,-85.1393513
263,264,"Bloomington, IN",5.96,11108,39.165325,-86.52638569999999
264,265,"Harrisburg, PA",5.96,21853,40.2737002,-76.8844179
265,266,"Charlotte, NC--SC",5.96,86473,35.2270869,-80.8431267
266,267,"Lansing, MI",5.96,26196,42.732535,-84.5555347
267,268,"Salinas, CA",5.96,4136,36.6777372,-121.6555013
268,269,"Evansville, IN--KY",5.96,14325,37.9715592,-87.5710898
269,270,"New Bedford, MA",5.96,3403,41.6362152,-70.93420499999999
270,271,"Winston-Salem, NC",5.96,20465,36.09985959999999,-80.244216
271,272,"Hartford, CT",5.96,46388,41.76371109999999,-72.6850932
272,273,"Athens-Clarke County, GA",5.96,12015,33.95,-83.38333329999999
273,274,"El Paso, TX--NM",5.96,35681,31.7699559,-106.4968055
274,275,"Mansfield, OH",5.96,1964,40.75839,-82.5154471
275,276,"Macon, GA",5.96,6354,32.8406946,-83.6324022
276,277,"Michigan City--La Porte, IN--MI",5.95,1340,41.70753939999999,-86.8950297
277,278,"Racine, WI",5.95,4104,42.7261309,-87.78285230000002
278,279,"Trenton, NJ",5.95,12467,40.2170534,-74.7429384
279,280,"Birmingham, AL",5.95,48942,33.5206608,-86.80248999999999
280,281,"Columbia, SC",5.95,38431,34.0007104,-81.0348144
281,282,"Worcester, MA--CT",5.95,18194,42.4096528,-71.8571331
282,283,"Rock Hill, SC",5.95,6016,34.9248667,-81.02507840000001
283,284,"Jackson, TN",5.95,5511,35.6145169,-88.81394689999999
284,285,"Lancaster--Palmdale, CA",5.95,15911,34.6462063,-118.1503119
285,286,"Burlington, NC",5.95,5042,36.0956918,-79.43779909999999
286,287,"Yuma, AZ--CA",5.95,4085,32.6926512,-114.6276916
287,288,"Virginia Beach, VA",5.95,88835,36.8529263,-75.97798499999999
288,289,"Lorain--Elyria, OH",5.95,6754,41.3683798,-82.10764859999999
289,290,"Florence, SC",5.94,4528,34.1954331,-79.7625625
290,291,"High Point, NC",5.94,6681,35.9556923,-80.0053176
291,292,"Anderson, SC",5.94,2636,34.5034394,-82.6501332
292,293,"New Haven, CT",5.94,34054,41.308274,-72.9278835
293,294,"Salisbury, MD--DE",5.94,7577,38.3606736,-75.5993692
294,295,"Mobile, AL",5.94,17999,30.6943566,-88.04305409999999
295,296,"Richmond, VA",5.94,63455,37.5407246,-77.4360481
296,297,"Dayton, OH",5.94,27593,39.7589478,-84.1916069
297,298,"Auburn, AL",5.94,8119,32.6098566,-85.48078249999999
298,299,"Akron, OH",5.94,37820,41.0814447,-81.51900529999999
299,300,"Tallahassee, FL",5.93,26050,30.4382559,-84.28073289999999
300,301,"Merced, CA",5.93,4166,37.3021632,-120.4829677
301,302,"Kokomo, IN",5.93,4893,40.486427,-86.13360329999999
302,303,"Jackson, MI",5.93,3068,42.245869,-84.40134619999999
303,304,"Savannah, GA",5.93,22468,32.0835407,-81.09983419999999
304,305,"Huntsville, AL",5.93,19857,34.7303688,-86.5861037
305,306,"Weirton--Steubenville, WV--OH--PA",5.93,3694,40.3697905,-80.63396379999999
306,307,"Atlanta, GA",5.93,405542,33.7489954,-84.3879824
307,308,"Murfreesboro, TN",5.93,12113,35.8456213,-86.39027
308,309,"Springfield, IL",5.93,5787,39.78172130000001,-89.6501481
309,310,"Little Rock, AR",5.93,43218,34.7464809,-92.28959479999999
310,311,"Muncie, IN",5.93,8737,40.1933767,-85.3863599
311,312,"Clarksville, TN--KY",5.93,8294,36.5297706,-87.3594528
312,313,"Muskegon, MI",5.93,4800,43.2341813,-86.24839209999999
313,314,"Warner Robins, GA",5.93,7437,32.6086111,-83.6380556
314,315,"Terre Haute, IN",5.93,5197,39.4667034,-87.41390919999999
315,316,"Saginaw, MI",5.93,4564,43.4194699,-83.9508068
316,317,"Danbury, CT--NY",5.93,16307,41.394817,-73.4540111
317,318,"Springfield, OH",5.93,2955,39.9242266,-83.8088171
318,319,"Philadelphia, PA--NJ--DE--MD",5.93,421547,39.952335,-75.16378900000001
319,320,"Youngstown, OH--PA",5.92,34075,41.0997803,-80.6495194
320,321,"Middletown, OH",5.92,2515,39.5150576,-84.39827629999999
321,322,"Greenville, NC",5.92,8398,35.612661,-77.3663538
322,323,"Greensboro, NC",5.92,33580,36.0726354,-79.7919754
323,324,"Laredo, TX",5.92,2759,27.5305671,-99.48032409999999
324,325,"Durham, NC",5.92,32450,35.9940329,-78.898619
325,326,"Washington, DC--VA--MD",5.92,500681,38.90723089999999,-77.0364641
326,327,"Slidell, LA",5.92,4858,30.2751945,-89.78117449999999
327,328,"Hattiesburg, MS",5.91,9067,31.3271189,-89.29033919999999
328,329,"Cleveland, OH",5.91,161435,41.4994954,-81.6954088
329,330,"Columbus, GA--AL",5.91,16836,32.4609764,-84.9877094
330,331,"Jacksonville, NC",5.91,3455,34.7540524,-77.4302414
331,332,"Kalamazoo, MI",5.91,13844,42.2917069,-85.5872286
332,333,"Tyler, TX",5.91,7634,32.3512601,-95.30106239999999
333,334,"Dalton, GA",5.91,1292,34.7698021,-84.9702228
334,335,"Vineland, NJ",5.91,3735,39.4863773,-75.02596369999999
335,336,"Champaign, IL",5.91,11052,40.1164204,-88.2433829
336,337,"Ann Arbor, MI",5.91,26393,42.2808256,-83.7430378
337,338,"Lawton, OK",5.91,3044,34.6035669,-98.39592909999999
338,339,"Texarkana--Texarkana, TX--AR",5.91,2024,33.421756,-94.04307999999999
339,340,"Utica, NY",5.9,4686,43.100903,-75.232664
340,341,"Longview, TX",5.9,3974,32.5007037,-94.74048909999999
341,342,"Lake Charles, LA",5.9,11050,30.2265949,-93.2173758
342,343,"New Orleans, LA",5.9,144553,29.95106579999999,-90.0715323
343,344,"Dover, DE",5.9,12155,39.158168,-75.5243682
344,345,"Detroit, MI",5.89,261689,42.331427,-83.0457538
345,346,"Augusta-Richmond County, GA--SC",5.89,22836,33.4734978,-82.0105148
346,347,"Tuscaloosa, AL",5.89,22580,33.2098407,-87.56917349999999
347,348,"Rapid City, SD",5.89,1992,44.0805434,-103.2310149
348,349,"Elmira, NY",5.89,5550,42.0897965,-76.8077338
349,350,"Fayetteville, NC",5.89,23112,35.0526641,-78.87835849999999
350,351,"Anniston--Oxford, AL",5.89,6710,33.5898242,-85.8519645
351,352,"Houston, TX",5.89,275544,29.7601927,-95.36938959999999
352,353,"Valdosta, GA",5.89,8812,30.8327022,-83.2784851
353,354,"Baltimore, MD",5.89,197122,39.2903848,-76.6121893
354,355,"Killeen, TX",5.88,8903,31.1171194,-97.72779589999999
355,356,"Lafayette, LA",5.88,33344,30.2240897,-92.0198427
356,357,"Baton Rouge, LA",5.88,83320,30.4582829,-91.1403196
357,358,"Dothan, AL",5.88,2618,31.2232313,-85.3904888
358,359,"Jackson, MS",5.88,40580,32.2987573,-90.1848103
359,360,"Montgomery, AL",5.87,24451,32.3668052,-86.2999689
360,361,"Port Arthur, TX",5.87,5692,29.8849504,-93.93994699999999
361,362,"Alexandria, LA",5.87,5515,31.3112936,-92.4451371
362,363,"Waterbury, CT",5.86,10121,41.5581525,-73.0514965
363,364,"Houma, LA",5.86,8668,29.5957696,-90.71953479999999
364,365,"Lima, OH",5.86,2932,40.742551,-84.1052256
365,366,"Battle Creek, MI",5.85,2199,42.3211522,-85.17971419999999
366,367,"Memphis, TN--MS--AR",5.84,89699,35.0387247,-89.8505012
367,368,"Flint, MI",5.84,14052,43.0125274,-83.6874562
368,369,"Monroe, LA",5.83,13128,32.5093109,-92.1193012
369,370,"Shreveport, LA",5.83,43511,32.5251516,-93.7501789
370,371,"Texas City, TX",5.82,4956,29.383845,-94.9027002
371,372,"Albany, GA",5.82,14529,31.5785074,-84.15574099999999
372,373,"Beaumont, TX",5.82,13117,30.080174,-94.1265562
